year,character,index,region,security,avg.price,name,size,address,supply,people,rate,rank,sum,value,d.sub,d.hos,cut
2022 2차,청년매입,신규공급,구로구,56.28,3594,하늘사랑채6차,30,"서울특별시 구로구 경인로15가길 38, 하늘사랑채6차 (오류동 81-117)",5,55,11,2순위,5,156700,570,400,15
2022 2차,청년매입,신규공급,구로구,56.28,3594,하늘사랑채5차 B동,33,"서울특별시 구로구 고척로27다길 39-7, 하늘사랑채5차 B동 (고척동 241-116)",2,27,13.5,2순위,5,203800,810,1000,15
2022 2차,청년매입,신규공급,구로구,56.28,3594,아이빌11차,29,"서울특별시 구로구 경인로47다길 20-3, 아이빌11차(고척동 57-19)",16,124,7.8,2순위,5,196600,590,310,15
2022 2차,청년매입,신규공급,구로구,56.28,3594,하늘사랑채,30,"서울특별시 구로구 고척로21가길 32-10, 하늘사랑채 (개봉동 33-72)",1,32,32,2순위,5,117500,730,950,15
2022 2차,청년매입,신규공급,구로구,56.28,3594,하늘사랑채6차,21,"서울특별시 구로구 경인로15가길 38, 하늘사랑채6차 (오류동 81-117)",7,62,8.9,2순위,5,106700,570,400,15
2022 2차,청년매입,신규공급,구로구,56.28,3594,하늘사랑채6차,30,"서울특별시 구로구 경인로15가길 38, 하늘사랑채6차 (오류동 81-117)",5,55,11,2순위,5,156700,570,400,15
2022 2차,청년매입,신규공급,구로구,56.28,3594,하늘사랑채5차 B동,33,"서울특별시 구로구 고척로27다길 39-7, 하늘사랑채5차 B동 (고척동 241-116)",2,27,13.5,2순위,5,203800,810,1000,15
2022 2차,청년매입,신규공급,구로구,56.28,3594,아이빌11차,29,"서울특별시 구로구 경인로47다길 20-3, 아이빌11차(고척동 57-19)",16,124,7.8,2순위,5,196600,590,310,15
2022 2차,청년매입,재공급,금천구,52.17,2917,쥬빌리2차,19,"서울특별시 금천구 범안로12길 50 쥬빌리2차 (독산동 1005-3, 제2동)",5,159,31.8,2순위,5,192900,420,590,15
2022 2차,청년매입,재공급,금천구,52.17,2917,서전하우스,21,"서울특별시 금천구 범안로12가길 31-10, 서전하우스 (독산동 1006-167)",4,36,9,2순위,5,170400,520,560,15
2022 2차,청년매입,재공급,금천구,52.17,2917,쥬빌리2차,19,"서울특별시 금천구 범안로12길 50 쥬빌리2차 (독산동 1005-3, 제2동)",5,159,31.8,2순위,5,192900,420,590,15
2022 2차,청년매입,재공급,금천구,52.17,2917,서전하우스,21,"서울특별시 금천구 범안로12가길 31-10, 서전하우스 (독산동 1006-167)",4,36,9,2순위,5,170400,520,560,15
2022 2차,청년매입,재공급,금천구,52.17,2917,쥬빌리2차,19,"서울특별시 금천구 범안로12길 50 쥬빌리2차 (독산동 1005-3, 제2동)",5,159,31.8,2순위,5,192900,420,590,15
2022 2차,청년매입,재공급,금천구,52.17,2917,서전하우스,21,"서울특별시 금천구 범안로12가길 31-10, 서전하우스 (독산동 1006-167)",4,36,9,2순위,5,170400,520,560,15
2022 2차,청년매입,신규공급,송파구,58.76,6161,네스트197,23,"서울특별시 송파구 오금로46길 65, 네스트197 (가락동 197-3)",19,288,15.2,2순위,5,240200,520,800,15
2022 2차,청년매입,신규공급,송파구,58.76,6161,서도휴빌,34,"서울특별시 송파구 문정로5길 3-34, 서도휴빌 (문정동 13-8)",3,292,97.3,2순위,5,342200,550,510,15
2022 2차,청년매입,신규공급,송파구,58.76,6161,네스트197,23,"서울특별시 송파구 오금로46길 65, 네스트197 (가락동 197-3)",19,288,15.2,2순위,5,240200,520,800,15
2022 2차,청년매입,신규공급,송파구,58.76,6161,서도휴빌,34,"서울특별시 송파구 문정로5길 3-34, 서도휴빌 (문정동 13-8)",3,292,97.3,2순위,5,342200,550,510,15
2022 2차,청년매입,신규공급,송파구,58.76,6161,네스트197,23,"서울특별시 송파구 오금로46길 65, 네스트197 (가락동 197-3)",19,288,15.2,2순위,5,240200,520,800,15
2022 2차,청년매입,신규공급,송파구,58.76,6161,서도휴빌,34,"서울특별시 송파구 문정로5길 3-34, 서도휴빌 (문정동 13-8)",3,292,97.3,2순위,5,342200,550,510,15
2022 2차,청년매입,재공급,양천구,57.32,4963,비전하우스,19,"서울특별시 양천구 곰달래로1길 36-1, 비전하우스 (신월동 135-16)",2,17,8.5,2순위,5,110300,280,530,15
2022 2차,청년매입,재공급,양천구,57.32,4963,비전하우스,19,"서울특별시 양천구 곰달래로1길 36-1, 비전하우스 (신월동 135-16)",2,17,8.5,2순위,5,110300,280,530,15
2022 2차,청년매입,재공급,양천구,57.32,4963,비전하우스,19,"서울특별시 양천구 곰달래로1길 36-1, 비전하우스 (신월동 135-16)",2,17,8.5,2순위,5,110300,280,530,15
2022 1차,청년매입,재공급,강동구,57.75,4686,강동서영스윗홈,23,"강동구 천중로48길 9-13, 길동 349-9",1,40,40,2순위,5,276500,330,170,15
2022 1차,청년매입,신규공급,강동구,57.75,4686,더클래스천호1,29,"강동구 천중로29길 27, 더클래스천호1 (천호동 84-22외)",14,195,13.9,2순위,5,234600,520,510,15
